life_desires,percentage,cluster
"HEALTH,INTELLIGENCE,LOVE",0.45,0
"FAMILY,LOVE,MONEY",0.44,0
"BALANCE,FAMILY,HEALTH",0.44,0
"BALANCE,LOVE,MONEY",0.44,0
"BALANCE,FAMILY,LOVE",0.43,0
"CAREER,HAPPINESS,PRODUCTIVITY",0.43,0
"LOVE,MONEY,PRODUCTIVITY",0.41,0
"FAMILY,HEALTH,INTELLIGENCE",0.41,0
"CAREER,FAMILY,MONEY",0.41,0
"BALANCE,LOVE,PRODUCTIVITY",0.4,0
"HAPPINESS,HEALTH,PRODUCTIVITY",0.4,0
"HAPPINESS,INTELLIGENCE,LOVE",0.4,0
"BALANCE,FAMILY,INTELLIGENCE",0.4,0
POPULARITY,0.4,0
"FAMILY,HEALTH,MONEY",0.4,0
"FAMILY,INTELLIGENCE,LOVE",0.4,0
"CAREER,HEALTH,INTELLIGENCE",0.39,0
"BALANCE,MONEY,POPULARITY",0.39,0
"CAREER,LOVE,MONEY",0.38,0
"INTELLIGENCE,LOVE,SEX",0.38,0
"BALANCE,CAREER,MONEY",0.38,0
"CAREER,HAPPINESS,MONEY",0.38,0
"BALANCE,HAPPINESS,PRODUCTIVITY",0.38,0
"CAREER,HAPPINESS,INTELLIGENCE",0.36,0
"HEALTH,MONEY,POPULARITY",0.36,0
"FAMILY,LOVE,SEX",0.36,0
"HAPPINESS,MONEY,PRODUCTIVITY",0.35,0
"BALANCE,FAMILY,HAPPINESS",0.35,0
"FAMILY,HEALTH,PRODUCTIVITY",0.35,0
"BALANCE,HAPPINESS,INTELLIGENCE",0.35,0
"BALANCE,HEALTH,LOVE",0.35,0
"HAPPINESS,LOVE,SEX",0.35,0
"INTELLIGENCE,PRODUCTIVITY,SEX",0.34,0
"BALANCE,CAREER,POPULARITY",0.34,0
"HAPPINESS,HEALTH,POPULARITY",0.34,0
"BALANCE,HEALTH,MONEY",0.34,0
"FAMILY,HAPPINESS,POPULARITY",0.33,0
"INTELLIGENCE,POPULARITY,SEX",0.33,0
"HAPPINESS,LOVE,PRODUCTIVITY",0.33,0
BALANCE,0.33,0
"HAPPINESS,LOVE,MONEY",0.33,0
"HEALTH,LOVE,MONEY",0.33,0
"POPULARITY,PRODUCTIVITY,SEX",0.32,0
"CAREER,FAMILY,LOVE",0.3,0
"HAPPINESS,HEALTH,MONEY",0.3,0
"CAREER,PRODUCTIVITY",0.3,0
"CAREER,MONEY,SEX",0.29,0
"BALANCE,CAREER,FAMILY",0.29,0
"INTELLIGENCE,PRODUCTIVITY",0.29,0
"MONEY,PRODUCTIVITY,SEX",0.29,0
"FAMILY,HAPPINESS,HEALTH",0.29,0
"CAREER,PRODUCTIVITY,SEX",0.28,0
FAMILY,0.28,0
LOVE,0.28,0
HAPPINESS,0.28,0
"CAREER,HAPPINESS,LOVE",0.28,0
"LOVE,MONEY,SEX",0.27,0
"FAMILY,HEALTH,LOVE",0.27,0
"BALANCE,CAREER,HAPPINESS",0.27,0
"FAMILY,HAPPINESS,PRODUCTIVITY",0.26,0
"HEALTH,LOVE,PRODUCTIVITY",0.26,0
"BALANCE,HAPPINESS,MONEY",0.24,0
"FAMILY,HAPPINESS,MONEY",0.24,0
"HAPPINESS,POPULARITY,SEX",0.23,0
"FAMILY,HAPPINESS,INTELLIGENCE",0.23,0
HEALTH,0.22,0
"CAREER,POPULARITY,SEX",0.22,0
MONEY,0.22,0
"FAMILY,HEALTH,POPULARITY",0.22,0
"BALANCE,FAMILY,MONEY",0.22,0
"CAREER,FAMILY,HAPPINESS",0.21,0
"MONEY,POPULARITY,SEX",0.21,0
"CAREER,HEALTH,POPULARITY",0.21,0
"BALANCE,CAREER,HEALTH",0.21,0
"HEALTH,MONEY,SEX",0.19,0
"FAMILY,POPULARITY,SEX",0.18,0
"FAMILY,PRODUCTIVITY,SEX",0.18,0
"LOVE,PRODUCTIVITY,SEX",0.18,0
"HEALTH,INTELLIGENCE,SEX",0.18,0
"CAREER,FAMILY,SEX",0.17,0
"CAREER,HEALTH,LOVE",0.17,0
"FAMILY,MONEY,SEX",0.17,0
"FAMILY,INTELLIGENCE,SEX",0.16,0
"HEALTH,PRODUCTIVITY,SEX",0.16,0
"CAREER,HAPPINESS,HEALTH",0.16,0
"HEALTH,POPULARITY,SEX",0.16,0
"FAMILY,HEALTH,SEX",0.16,0
"BALANCE,CAREER,LOVE",0.15,0
"HEALTH,LOVE,SEX",0.15,0
"BALANCE,POPULARITY,SEX",0.13,0
"CAREER,LOVE,SEX",0.13,0
"BALANCE,FAMILY,SEX",0.13,0
"BALANCE,INTELLIGENCE,SEX",0.13,0
"CAREER,INTELLIGENCE,SEX",0.13,0
"INTELLIGENCE,POPULARITY",0.13,0
"BALANCE,PRODUCTIVITY,SEX",0.13,0
"HEALTH,PRODUCTIVITY",0.12,0
"CAREER,FAMILY,HEALTH",0.12,0
"CAREER,INTELLIGENCE",0.12,0
"BALANCE,LOVE,SEX",0.12,0
"INTELLIGENCE,MONEY",0.12,0
"HAPPINESS,INTELLIGENCE,SEX",0.11,0
"BALANCE,INTELLIGENCE",0.1,0
"HAPPINESS,HEALTH,SEX",0.1,0
"FAMILY,HAPPINESS,SEX",0.1,0
"BALANCE,HEALTH,SEX",0.1,0
"HAPPINESS,MONEY,SEX",0.1,0
"BALANCE,POPULARITY",0.09,0
"CAREER,POPULARITY",0.09,0
"BALANCE,HEALTH",0.09,0
"POPULARITY,PRODUCTIVITY",0.09,0
"HAPPINESS,INTELLIGENCE",0.09,0
"BALANCE,HAPPINESS,SEX",0.09,0
"CAREER,HAPPINESS,SEX",0.07,0
"CAREER,HEALTH,SEX",0.07,0
"BALANCE,MONEY,SEX",0.06,0
"BALANCE,PRODUCTIVITY",0.06,0
"BALANCE,CAREER,SEX",0.06,0
"CAREER,MONEY",0.06,0
"HAPPINESS,PRODUCTIVITY,SEX",0.05,0
"HEALTH,INTELLIGENCE",0.05,0
"LOVE,SEX",0.05,0
"HAPPINESS,LOVE",0.05,0
"MONEY,POPULARITY",0.05,0
"MONEY,PRODUCTIVITY",0.05,0
"HAPPINESS,POPULARITY",0.05,0
"INTELLIGENCE,SEX",0.04,0
"FAMILY,LOVE",0.04,0
SEX,0.04,0
"HAPPINESS,HEALTH",0.04,0
"HEALTH,MONEY",0.04,0
"LOVE,POPULARITY",0.02,0
"FAMILY,PRODUCTIVITY",0.02,0
"HAPPINESS,MONEY",0.02,0
"HEALTH,POPULARITY",0.02,0
"INTELLIGENCE,LOVE",0.02,0
"HAPPINESS,PRODUCTIVITY",0.02,0
"FAMILY,HAPPINESS",0.02,0
"LOVE,PRODUCTIVITY",0.01,0
"FAMILY,SEX",0.01,0
"HEALTH,LOVE",0.01,0
"POPULARITY,SEX",0.01,0
"HEALTH,SEX",0.01,0
"MONEY,SEX",0.01,0
"FAMILY,POPULARITY",0.01,0
"FAMILY,INTELLIGENCE",0.01,0
"CAREER,FAMILY",0.01,0
"FAMILY,HEALTH",0.01,0
"CAREER,INTELLIGENCE,PRODUCTIVITY",4.5,1
"CAREER,POPULARITY,PRODUCTIVITY",4.01,1
"CAREER,MONEY,PRODUCTIVITY",2.97,1
"INTELLIGENCE,POPULARITY,PRODUCTIVITY",2.72,1
"INTELLIGENCE,MONEY,PRODUCTIVITY",2.46,1
"CAREER,FAMILY,PRODUCTIVITY",2.21,1
"CAREER,INTELLIGENCE,MONEY",2.18,1
"CAREER,INTELLIGENCE,POPULARITY",1.92,1
missing,1.85,1
INTELLIGENCE,1.51,1
"HEALTH,INTELLIGENCE,MONEY",1.4,1
"HEALTH,INTELLIGENCE,PRODUCTIVITY",1.31,1
"INTELLIGENCE,MONEY,POPULARITY",1.3,1
"MONEY,POPULARITY,PRODUCTIVITY",1.26,1
"BALANCE,INTELLIGENCE,PRODUCTIVITY",1.26,1
"BALANCE,INTELLIGENCE,POPULARITY",1.24,1
"HEALTH,MONEY,PRODUCTIVITY",1.22,1
"BALANCE,CAREER,PRODUCTIVITY",1.17,1
"INTELLIGENCE,LOVE,POPULARITY",1.15,1
PRODUCTIVITY,1.13,1
"BALANCE,POPULARITY,PRODUCTIVITY",1.03,1
"BALANCE,HEALTH,INTELLIGENCE",0.97,1
"HAPPINESS,LOVE,POPULARITY",0.94,1
"CAREER,MONEY,POPULARITY",0.94,1
"CAREER,FAMILY,POPULARITY",0.92,1
"BALANCE,HEALTH,PRODUCTIVITY",0.85,1
"HAPPINESS,INTELLIGENCE,PRODUCTIVITY",0.85,1
"LOVE,POPULARITY,PRODUCTIVITY",0.83,1
"BALANCE,INTELLIGENCE,MONEY",0.83,1
"HAPPINESS,INTELLIGENCE,POPULARITY",0.83,1
"HEALTH,POPULARITY,PRODUCTIVITY",0.79,1
"BALANCE,LOVE,POPULARITY",0.76,1
"FAMILY,INTELLIGENCE,PRODUCTIVITY",0.74,1
"FAMILY,INTELLIGENCE,POPULARITY",0.74,1
"FAMILY,POPULARITY,PRODUCTIVITY",0.72,1
"CAREER,FAMILY,INTELLIGENCE",0.7,1
"HEALTH,INTELLIGENCE,POPULARITY",0.7,1
"BALANCE,HAPPINESS,POPULARITY",0.68,1
"BALANCE,INTELLIGENCE,LOVE",0.68,1
"CAREER,INTELLIGENCE,LOVE",0.67,1
"HAPPINESS,INTELLIGENCE,MONEY",0.67,1
"CAREER,HEALTH,MONEY",0.67,1
"BALANCE,MONEY,PRODUCTIVITY",0.65,1
"INTELLIGENCE,LOVE,MONEY",0.65,1
"HEALTH,INTELLIGENCE,LOVE",0.65,1
"FAMILY,INTELLIGENCE,MONEY",0.63,1
"HAPPINESS,POPULARITY,PRODUCTIVITY",0.63,1
"BALANCE,CAREER,POPULARITY",0.63,1
"CAREER,FAMILY,MONEY",0.63,1
"HAPPINESS,HEALTH,POPULARITY",0.63,1
CAREER,0.61,1
"FAMILY,HEALTH,PRODUCTIVITY",0.61,1
"BALANCE,FAMILY,PRODUCTIVITY",0.59,1
"HAPPINESS,HEALTH,INTELLIGENCE",0.59,1
"INTELLIGENCE,PRODUCTIVITY,SEX",0.58,1
POPULARITY,0.58,1
"CAREER,HEALTH,PRODUCTIVITY",0.56,1
"BALANCE,HAPPINESS,HEALTH",0.54,1
"LOVE,POPULARITY,SEX",0.5,1
"CAREER,HAPPINESS,PRODUCTIVITY",0.5,1
HAPPINESS,0.5,1
"FAMILY,MONEY,PRODUCTIVITY",0.5,1
"BALANCE,FAMILY,INTELLIGENCE",0.5,1
"FAMILY,LOVE,POPULARITY",0.49,1
"CAREER,LOVE,PRODUCTIVITY",0.47,1
"CAREER,LOVE,POPULARITY",0.47,1
"BALANCE,FAMILY,LOVE",0.45,1
"HEALTH,LOVE,PRODUCTIVITY",0.45,1
"BALANCE,FAMILY,POPULARITY",0.45,1
"CAREER,HAPPINESS,POPULARITY",0.45,1
"HAPPINESS,HEALTH,PRODUCTIVITY",0.43,1
"FAMILY,HEALTH,INTELLIGENCE",0.43,1
"CAREER,LOVE,MONEY",0.43,1
"HAPPINESS,HEALTH,LOVE",0.43,1
"BALANCE,CAREER,FAMILY",0.43,1
"BALANCE,LOVE,PRODUCTIVITY",0.43,1
"BALANCE,HEALTH,MONEY",0.43,1
"CAREER,HEALTH,INTELLIGENCE",0.43,1
"LOVE,MONEY,POPULARITY",0.41,1
"HAPPINESS,MONEY,POPULARITY",0.41,1
"INTELLIGENCE,LOVE,PRODUCTIVITY",0.41,1
"BALANCE,HAPPINESS,INTELLIGENCE",0.41,1
"HEALTH,LOVE,POPULARITY",0.41,1
"LOVE,MONEY,PRODUCTIVITY",0.4,1
"HEALTH,MONEY,POPULARITY",0.4,1
"CAREER,FAMILY,LOVE",0.4,1
"FAMILY,HAPPINESS,LOVE",0.38,1
"FAMILY,LOVE,PRODUCTIVITY",0.38,1
"HAPPINESS,LOVE,PRODUCTIVITY",0.38,1
"BALANCE,HAPPINESS,LOVE",0.36,1
"HAPPINESS,MONEY,PRODUCTIVITY",0.36,1
"BALANCE,CAREER,INTELLIGENCE",0.36,1
"HEALTH,LOVE,MONEY",0.34,1
"CAREER,PRODUCTIVITY",0.34,1
BALANCE,0.34,1
"INTELLIGENCE,MONEY,SEX",0.34,1
"BALANCE,FAMILY,HEALTH",0.34,1
"FAMILY,HEALTH,LOVE",0.34,1
"BALANCE,HEALTH,LOVE",0.34,1
"BALANCE,MONEY,POPULARITY",0.32,1
"HAPPINESS,INTELLIGENCE,LOVE",0.32,1
"CAREER,FAMILY,HEALTH",0.32,1
"FAMILY,HAPPINESS,MONEY",0.32,1
"BALANCE,CAREER,MONEY",0.31,1
"BALANCE,HAPPINESS,PRODUCTIVITY",0.31,1
"MONEY,PRODUCTIVITY,SEX",0.31,1
"HAPPINESS,HEALTH,MONEY",0.31,1
"BALANCE,HEALTH,POPULARITY",0.31,1
"BALANCE,CAREER,HEALTH",0.31,1
"HAPPINESS,LOVE,SEX",0.31,1
"CAREER,HAPPINESS,MONEY",0.31,1
"INTELLIGENCE,PRODUCTIVITY",0.31,1
MONEY,0.31,1
"FAMILY,HAPPINESS,HEALTH",0.31,1
"BALANCE,LOVE,MONEY",0.29,1
"INTELLIGENCE,LOVE,SEX",0.29,1
"CAREER,POPULARITY,SEX",0.27,1
FAMILY,0.25,1
"FAMILY,LOVE,SEX",0.25,1
"BALANCE,HAPPINESS,MONEY",0.25,1
"BALANCE,FAMILY,MONEY",0.25,1
"FAMILY,HEALTH,MONEY",0.25,1
"FAMILY,HAPPINESS,POPULARITY",0.25,1
"FAMILY,MONEY,POPULARITY",0.25,1
"HAPPINESS,LOVE,MONEY",0.25,1
"INTELLIGENCE,POPULARITY,SEX",0.23,1
"CAREER,MONEY,SEX",0.23,1
"CAREER,HEALTH,POPULARITY",0.23,1
"FAMILY,INTELLIGENCE,SEX",0.23,1
"CAREER,PRODUCTIVITY,SEX",0.22,1
"HEALTH,INTELLIGENCE,SEX",0.22,1
"CAREER,HAPPINESS,LOVE",0.22,1
"CAREER,HAPPINESS,INTELLIGENCE",0.22,1
"FAMILY,HEALTH,POPULARITY",0.22,1
"CAREER,INTELLIGENCE,SEX",0.22,1
"FAMILY,HAPPINESS,PRODUCTIVITY",0.2,1
HEALTH,0.2,1
LOVE,0.18,1
"FAMILY,POPULARITY,SEX",0.18,1
"CAREER,HAPPINESS,HEALTH",0.18,1
"FAMILY,HAPPINESS,INTELLIGENCE",0.18,1
"INTELLIGENCE,MONEY",0.18,1
"POPULARITY,PRODUCTIVITY,SEX",0.18,1
"FAMILY,LOVE,MONEY",0.16,1
"FAMILY,PRODUCTIVITY,SEX",0.16,1
"BALANCE,CAREER,LOVE",0.16,1
"HAPPINESS,INTELLIGENCE,SEX",0.16,1
"HEALTH,LOVE,SEX",0.16,1
"HEALTH,PRODUCTIVITY,SEX",0.16,1
"HEALTH,POPULARITY,SEX",0.14,1
"BALANCE,LOVE,SEX",0.14,1
"BALANCE,POPULARITY,SEX",0.14,1
"FAMILY,INTELLIGENCE,LOVE",0.14,1
"HAPPINESS,POPULARITY,SEX",0.14,1
"CAREER,FAMILY,HAPPINESS",0.14,1
"BALANCE,CAREER,HAPPINESS",0.13,1
"BALANCE,FAMILY,HAPPINESS",0.13,1
"MONEY,POPULARITY,SEX",0.13,1
"LOVE,PRODUCTIVITY,SEX",0.13,1
"LOVE,MONEY,SEX",0.13,1
"INTELLIGENCE,POPULARITY",0.11,1
"CAREER,LOVE,SEX",0.11,1
"HEALTH,MONEY,SEX",0.11,1
"LOVE,POPULARITY",0.11,1
"CAREER,HEALTH,LOVE",0.11,1
"CAREER,HAPPINESS,SEX",0.11,1
"POPULARITY,PRODUCTIVITY",0.09,1
"BALANCE,POPULARITY",0.09,1
"FAMILY,INTELLIGENCE",0.09,1
"FAMILY,MONEY,SEX",0.09,1
"BALANCE,PRODUCTIVITY,SEX",0.09,1
"HEALTH,INTELLIGENCE",0.09,1
"FAMILY,HEALTH,SEX",0.09,1
"HAPPINESS,PRODUCTIVITY,SEX",0.09,1
"HAPPINESS,HEALTH,SEX",0.09,1
"MONEY,POPULARITY",0.07,1
"INTELLIGENCE,LOVE",0.07,1
"CAREER,HEALTH,SEX",0.07,1
"HAPPINESS,INTELLIGENCE",0.07,1
"HAPPINESS,POPULARITY",0.07,1
"CAREER,FAMILY,SEX",0.07,1
"BALANCE,INTELLIGENCE",0.05,1
"CAREER,POPULARITY",0.05,1
"BALANCE,FAMILY,SEX",0.05,1
"INTELLIGENCE,SEX",0.05,1
"HAPPINESS,MONEY,SEX",0.05,1
"CAREER,INTELLIGENCE",0.05,1
"HAPPINESS,PRODUCTIVITY",0.05,1
"BALANCE,INTELLIGENCE,SEX",0.05,1
"HEALTH,MONEY",0.05,1
"BALANCE,CAREER,SEX",0.05,1
"BALANCE,PRODUCTIVITY",0.05,1
"BALANCE,HEALTH,SEX",0.05,1
"BALANCE,HEALTH",0.05,1
"HEALTH,PRODUCTIVITY",0.05,1
"MONEY,PRODUCTIVITY",0.05,1
"MONEY,SEX",0.04,1
"LOVE,PRODUCTIVITY",0.04,1
"FAMILY,HEALTH",0.04,1
SEX,0.04,1
"CAREER,HEALTH",0.04,1
"POPULARITY,SEX",0.04,1
"HAPPINESS,LOVE",0.04,1
"FAMILY,PRODUCTIVITY",0.04,1
"HAPPINESS,HEALTH",0.04,1
"CAREER,FAMILY",0.04,1
"HEALTH,POPULARITY",0.02,1
"FAMILY,HAPPINESS,SEX",0.02,1
"FAMILY,POPULARITY",0.02,1
"CAREER,LOVE",0.02,1
"LOVE,SEX",0.02,1
"LOVE,MONEY",0.02,1
"BALANCE,CAREER",0.02,1
"CAREER,MONEY",0.02,1
"BALANCE,HAPPINESS,SEX",0.02,1
"BALANCE,FAMILY",0.02,1
"HEALTH,LOVE",0.02,1
"CAREER,POPULARITY,PRODUCTIVITY",4.95,2
"CAREER,INTELLIGENCE,PRODUCTIVITY",3.18,2
"CAREER,FAMILY,PRODUCTIVITY",3.15,2
"CAREER,MONEY,PRODUCTIVITY",2.85,2
"BALANCE,CAREER,PRODUCTIVITY",1.97,2
"BALANCE,LOVE,POPULARITY",1.79,2
"INTELLIGENCE,POPULARITY,PRODUCTIVITY",1.72,2
"INTELLIGENCE,MONEY,PRODUCTIVITY",1.67,2
"CAREER,INTELLIGENCE,POPULARITY",1.67,2
missing,1.59,2
"CAREER,INTELLIGENCE,MONEY",1.54,2
"BALANCE,POPULARITY,PRODUCTIVITY",1.51,2
"BALANCE,INTELLIGENCE,POPULARITY",1.46,2
"LOVE,POPULARITY,PRODUCTIVITY",1.44,2
PRODUCTIVITY,1.36,2
"HAPPINESS,LOVE,POPULARITY",1.36,2
"MONEY,POPULARITY,PRODUCTIVITY",1.31,2
"FAMILY,LOVE,POPULARITY",1.26,2
"CAREER,MONEY,POPULARITY",1.26,2
"FAMILY,POPULARITY,PRODUCTIVITY",1.23,2
"INTELLIGENCE,MONEY,POPULARITY",1.18,2
"CAREER,FAMILY,POPULARITY",1.15,2
INTELLIGENCE,1.08,2
"CAREER,LOVE,POPULARITY",0.97,2
CAREER,0.97,2
"BALANCE,CAREER,POPULARITY",0.97,2
"INTELLIGENCE,LOVE,POPULARITY",0.97,2
BALANCE,0.92,2
"BALANCE,INTELLIGENCE,PRODUCTIVITY",0.92,2
"FAMILY,MONEY,PRODUCTIVITY",0.9,2
"CAREER,LOVE,PRODUCTIVITY",0.9,2
"BALANCE,HAPPINESS,POPULARITY",0.87,2
"CAREER,FAMILY,MONEY",0.87,2
"FAMILY,INTELLIGENCE,POPULARITY",0.85,2
"BALANCE,FAMILY,POPULARITY",0.79,2
POPULARITY,0.79,2
"LOVE,MONEY,POPULARITY",0.77,2
"BALANCE,FAMILY,PRODUCTIVITY",0.77,2
"FAMILY,INTELLIGENCE,PRODUCTIVITY",0.72,2
"INTELLIGENCE,LOVE,MONEY",0.72,2
"BALANCE,MONEY,PRODUCTIVITY",0.69,2
"HAPPINESS,POPULARITY,PRODUCTIVITY",0.67,2
"BALANCE,INTELLIGENCE,MONEY",0.67,2
"FAMILY,INTELLIGENCE,MONEY",0.62,2
"INTELLIGENCE,LOVE,PRODUCTIVITY",0.62,2
"POPULARITY,PRODUCTIVITY,SEX",0.62,2
"BALANCE,INTELLIGENCE,LOVE",0.62,2
"HAPPINESS,INTELLIGENCE,POPULARITY",0.59,2
MONEY,0.59,2
"BALANCE,MONEY,POPULARITY",0.59,2
"FAMILY,INTELLIGENCE,LOVE",0.59,2
"CAREER,HAPPINESS,POPULARITY",0.59,2
"CAREER,FAMILY,INTELLIGENCE",0.56,2
"LOVE,POPULARITY,SEX",0.56,2
"CAREER,HAPPINESS,MONEY",0.56,2
FAMILY,0.54,2
"BALANCE,HEALTH,POPULARITY",0.54,2
"FAMILY,LOVE,PRODUCTIVITY",0.54,2
"HAPPINESS,MONEY,POPULARITY",0.51,2
"HAPPINESS,INTELLIGENCE,PRODUCTIVITY",0.51,2
"BALANCE,FAMILY,INTELLIGENCE",0.51,2
HAPPINESS,0.51,2
"CAREER,INTELLIGENCE,LOVE",0.49,2
"LOVE,MONEY,SEX",0.49,2
"HEALTH,INTELLIGENCE,PRODUCTIVITY",0.49,2
"BALANCE,CAREER,FAMILY",0.49,2
"HEALTH,INTELLIGENCE,MONEY",0.49,2
"BALANCE,FAMILY,LOVE",0.49,2
"FAMILY,HAPPINESS,PRODUCTIVITY",0.46,2
"HAPPINESS,INTELLIGENCE,MONEY",0.46,2
"BALANCE,HEALTH,PRODUCTIVITY",0.46,2
"FAMILY,MONEY,POPULARITY",0.46,2
"BALANCE,HAPPINESS,PRODUCTIVITY",0.44,2
"BALANCE,HEALTH,LOVE",0.44,2
"CAREER,FAMILY,LOVE",0.44,2
"FAMILY,LOVE,MONEY",0.44,2
"HEALTH,MONEY,PRODUCTIVITY",0.38,2
"CAREER,PRODUCTIVITY,SEX",0.38,2
"FAMILY,HAPPINESS,POPULARITY",0.38,2
"BALANCE,FAMILY,HEALTH",0.38,2
"MONEY,PRODUCTIVITY,SEX",0.36,2
"HEALTH,POPULARITY,PRODUCTIVITY",0.36,2
"LOVE,MONEY,PRODUCTIVITY",0.36,2
"INTELLIGENCE,MONEY,SEX",0.36,2
"BALANCE,LOVE,PRODUCTIVITY",0.36,2
"HAPPINESS,LOVE,PRODUCTIVITY",0.36,2
"FAMILY,MONEY,SEX",0.36,2
"CAREER,HAPPINESS,PRODUCTIVITY",0.36,2
"BALANCE,CAREER,INTELLIGENCE",0.36,2
LOVE,0.36,2
"HEALTH,INTELLIGENCE,POPULARITY",0.36,2
"BALANCE,HAPPINESS,MONEY",0.36,2
"BALANCE,FAMILY,MONEY",0.36,2
"BALANCE,HAPPINESS,LOVE",0.33,2
"BALANCE,HAPPINESS,INTELLIGENCE",0.33,2
"BALANCE,CAREER,MONEY",0.33,2
"CAREER,PRODUCTIVITY",0.33,2
"INTELLIGENCE,LOVE,SEX",0.33,2
"CAREER,LOVE,MONEY",0.33,2
"CAREER,HAPPINESS,LOVE",0.33,2
"FAMILY,HAPPINESS,MONEY",0.33,2
"FAMILY,LOVE,SEX",0.31,2
"HAPPINESS,HEALTH,PRODUCTIVITY",0.31,2
HEALTH,0.31,2
"MONEY,POPULARITY,SEX",0.31,2
"FAMILY,POPULARITY,SEX",0.31,2
"BALANCE,FAMILY,HAPPINESS",0.31,2
"FAMILY,HEALTH,POPULARITY",0.31,2
"BALANCE,CAREER,LOVE",0.31,2
"CAREER,INTELLIGENCE,SEX",0.31,2
"BALANCE,HEALTH,INTELLIGENCE",0.31,2
"CAREER,MONEY,SEX",0.28,2
"FAMILY,HEALTH,PRODUCTIVITY",0.28,2
"HEALTH,LOVE,POPULARITY",0.28,2
"FAMILY,HAPPINESS,LOVE",0.28,2
"HAPPINESS,HEALTH,INTELLIGENCE",0.28,2
"CAREER,HEALTH,PRODUCTIVITY",0.28,2
"CAREER,HEALTH,INTELLIGENCE",0.26,2
